Experiment,Reference,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),Na2O+K2O
KN-54-2-2-1,Grove1992,0.001,0.00001,1210,gl,51.4,1.55,16.1,8.55,0.15,7.96,10.2,3.46,0.28,,,0.06,99.71,7.32,4.6766,0.9366,3.58,3.74
KN-54-2-2-1,Grove1992,0.001,0.00001,1207,gl-ol-sp,51.9,1.5,17,7.82,0.23,8.06,9.93,3.71,0.28,,,0.06,100.49,7.72,4.9336,0.9436,3.73,3.99
KN-54-2-2-1,Grove1992,0.001,0.00001,1205,gl-ol-pl,51.2,1.66,16.2,9.91,0.23,7.5,10.1,3.65,0.3,,,0.07,100.82,7.16,4.5738,0.6238,3.21,3.95
KN-54-2-2-1,Grove1992,0.001,0.00001,1196,gl-ol-pl,52.5,1.74,16.1,8.63,0.15,7.47,10.3,3.47,0.29,,,0.05,100.7,8.2,5.242,1.482,4.44,3.76
KN-54-2-2-1,Grove1992,0.001,0.00001,1185,gl-ol-pl,51.5,1.9,14.9,9.09,0.18,6.8,10.4,3.6,0.33,,,0.06,98.76,7.4,4.728,0.798,3.47,3.93
KN-54-2-2-1,Grove1992,0.001,0.00001,1177,gl-ol-pl,52.5,2.09,14.9,9.59,0.17,6.67,10.9,3.47,0.32,,,0.07,100.68,8.2,5.242,1.452,4.41,3.79
KN-54-2-2-1,Grove1992,0.001,0.00001,1170,gl-ol-pl,52.6,2.26,14.2,9.56,0.19,6.26,10.5,3.56,0.38,,,0.04,99.55,8.28,5.2934,1.3534,4.34,3.94
KN-54-2-2-1,Grove1992,0.001,0.00001,1161,gl-ol-cp-pl,51.9,2.38,13.6,11.3,0.23,6.06,10.4,3.27,0.34,,,0.06,99.54,7.72,4.9336,1.3236,4.11,3.61
ALV-1690-20,Grove1992,2,0.02,1176,gl-ol-pl,49.7,1.93,14.3,10.7,0.22,7.19,10.6,3.17,0.18,0.25,,0,98.24,5.96,3.8028,0.4528,2.61,3.35
ALV-1690-20,Grove1992,2,0.02,1163,gl-ol-cp-pl,49.8,2.35,13.6,12.2,0.25,6.7,10.5,3.23,0.19,0.32,,0,99.14,6.04,3.8542,0.4342,2.62,3.42
ALV-1690-20,Grove1992,2,0.02,1152,gl-ol-cp-pl,50,2.47,13.7,11.7,0.19,6.6,10.5,3.36,0.22,0.36,,0,99.1,6.2,3.957,0.377,2.62,3.58
ALV-1690-20,Grove1992,2,0.02,1148,gl-ol-cp-pl,49.8,2.3,13.7,12,0.22,6.68,10.7,3.18,0.19,0.32,,0,99.09,6.04,3.8542,0.4842,2.67,3.37
ALV-1690-20,Grove1992,2,0.02,1145,gl-ol-cp-pl,49.8,3.32,12.9,12.9,0.27,6.08,9.86,3.11,0.25,0.43,,0,98.92,6.04,3.8542,0.4942,2.68,3.36
ALV-1690-20,Grove1992,2,0.02,1126,gl-ol-cp-pl,49,3.7,12.5,13.6,0.25,5.91,9.66,3.29,0.28,0.53,,0,98.72,5.4,3.443,-0.127,1.83,3.57
AII-96-18-1,Grove1992,8,0.5,1240,gl-ol-cp-pl,50.2,1.4,15.8,9.48,0.14,8.01,10.6,3.13,0.12,0.15,,0.05,99.08,6.36,4.0598,0.8098,3.11,3.25
AII-96-18-1,Grove1992,8,0.5,1230,gl-ol-cp-pl,49.1,1.82,15.6,11.2,0.19,7.64,9.77,3.57,0.14,0.13,,0.03,99.19,5.48,3.4944,-0.2156,1.77,3.71
AII-96-18-1,Grove1992,8,0.5,1215,gl-ol-cp-pl,48.7,1.9,15.3,11.5,0.09,7.27,9.62,3.61,0.15,0.13,,0.08,98.35,5.16,3.2888,-0.4712,1.4,3.76
ALV-528-1-1,Grove1992,8,0.5,1265,gl-ol-cp-pl,49,0.9,16.3,9.79,0.13,9.12,11.5,2.33,0.11,0.06,,0.11,99.35,5.4,3.443,1.003,2.96,2.44
ALV-528-1-1,Grove1992,8,0.5,1250,gl-ol-cp-pl,49.3,0.89,15.9,10.1,0.15,8.46,11.9,2.23,0.12,,,0.08,99.13,5.64,3.5972,1.2472,3.29,2.35
ALV-528-1-1,Grove1992,8,0.5,1235,gl-ol-cp-pl,49.2,1.02,15.6,11.1,0.27,8.32,11.6,2.28,0.14,0.16,,0.11,99.8,5.56,3.5458,1.1258,3.14,2.42
ALV-528-1-1,Grove1992,8,0.5,1225,gl-ol-cp-pl,48.9,1.72,15.4,11.9,0.22,7.88,10.4,3.12,0.16,0.26,,0.08,100.04,5.32,3.3916,0.1116,2.04,3.28
70-002,Grove1992,8,0.5,1240,gl-ol-cp-pl,49.2,1.11,16,8.63,0.05,9.5,11.8,2.61,0.08,0.08,,0.11,99.17,5.56,3.5458,0.8558,2.87,2.69
70-002,Grove1992,8,0.5,1225,gl-ol-cp-pl,48.9,2.8,14.5,11.6,0.3,7.9,10.2,3.39,0.27,0.37,,0.08,100.31,5.32,3.3916,-0.2684,1.66,3.66
70-002,Grove1992,8,0.5,1210,gl-ol-cp-pl,49,3.06,14,14.1,0.23,6.47,9.58,3.22,0.26,0.4,,0.06,100.38,5.4,3.443,-0.037,1.92,3.48
ALV-2004-3-1+10Ol,Grove1992,10,0.5,1250,gl-ol-cp-pl,48.7,1.21,17.2,8.99,0.25,8.1,10,3.84,0.13,0.13,,0,98.55,5.16,3.2888,-0.6812,1.19,3.97
ALV-2004-3-1+10Ol,Grove1992,10,0.5,1235,gl-ol-cp-pl,48.6,1.59,17.2,10.2,0.15,8.52,10.2,3.19,0.16,0.16,,0.06,100.03,5.08,3.2374,-0.1126,1.73,3.35
AII-96-18-1,Tormey1987,0.001,0.00001,1231,gl,50.5,1.45,15.3,9.26,0.17,8.56,11.2,3.13,0.12,,,0.04,99.73,6.6,4.214,0.964,3.35,3.25
AII-96-18-1,Tormey1987,0.001,0.00001,1205,gl-ol-pl,50.6,1.57,15,9.73,0.2,7.6,11.1,3.29,0.13,,,0.07,99.29,6.68,4.2654,0.8454,3.26,3.42
AII-96-18-1,Tormey1987,0.001,0.00001,1195,gl-ol-pl,50.7,1.67,15.1,9.6,0.18,7.76,11.3,2.87,0.13,0.16,,0.06,99.53,6.76,4.3168,1.3168,3.76,3
AII-96-18-1,Tormey1987,0.001,0.00001,1187,gl-ol-pl,51.2,1.67,15,9.95,0.18,7.78,11.6,2.81,0.14,0.15,,0.08,100.56,7.16,4.5738,1.6238,4.21,2.95
AII-96-18-1,Tormey1987,0.001,0.00001,1177,gl-ol-pl,50.3,1.83,14.1,10.6,0.24,7.24,11.4,2.85,0.16,,,0.04,98.76,6.44,4.1112,1.1012,3.43,3.01
AII-96-18-1,Tormey1987,0.001,0.00001,1171,gl-ol-cp-pl,50.4,2.15,13.5,11.2,0.24,6.73,11.1,3.27,0.17,,,0.02,98.78,6.52,4.1626,0.7226,3.08,3.44
AII-96-18-1,Tormey1987,0.001,0.00001,1153,gl-ol-cp-pl,50.9,2.62,12.5,13.1,0.25,6.01,10.4,2.97,0.18,0.24,,0.03,99.2,6.92,4.4196,1.2696,3.77,3.15
AII-96-18-1,Tormey1987,0.001,0.00001,1152,gl-ol-cp-pl,50.2,2.71,13,12.6,0.39,6.17,10.3,3.5,0.22,,,0.03,99.12,6.36,4.0598,0.3398,2.64,3.72
AII-78-3-102,Tormey1987,0.001,0.00001,1243,gl,48.8,0.96,17.5,9.58,0.14,9.62,10.2,2.71,0.11,0.07,,0.01,99.7,5.24,3.3402,0.5202,2.42,2.82
AII-78-3-102,Tormey1987,0.001,0.00001,1240,gl-ol-sp,49.1,0.99,17.3,9.3,0.17,9.85,10.5,2.91,0.11,,,0.09,100.32,5.48,3.4944,0.4744,2.46,3.02
AII-78-3-102,Tormey1987,0.001,0.00001,1235,gl-ol-pl-sp,49.1,0.96,17.3,9.57,0.19,9.14,10.4,2.95,0.11,,,0.09,99.81,5.48,3.4944,0.4344,2.42,3.06
AII-78-3-102,Tormey1987,0.001,0.00001,1230,gl-ol-pl,49,1.16,17.3,9.86,0.16,8.25,10.5,3.11,0.13,0.09,,0.01,99.57,5.4,3.443,0.203,2.16,3.24
AII-78-3-102,Tormey1987,0.001,0.00001,1224,gl-ol-pl,49.1,1.12,17.2,10,0.18,8.64,10.4,3.03,0.14,,,0.04,99.85,5.48,3.4944,0.3244,2.31,3.17
AII-78-3-102,Tormey1987,0.001,0.00001,1215,gl-ol-pl,48.2,1.19,16.4,10.5,0.19,8.39,10.5,3.15,0.13,,,0.09,98.74,4.76,3.0318,-0.2482,1.48,3.28
AII-78-3-102,Tormey1987,0.001,0.00001,1205,gl-ol-pl,48.5,1.52,15.5,11.4,0.17,7.44,11,3.18,0.17,,,0.06,98.94,5,3.186,-0.164,1.65,3.35
AII-78-3-102,Tormey1987,0.001,0.00001,1196,gl-ol-pl,49.1,1.43,15.6,11.7,0.17,7.42,11.2,3.2,0.17,,,0.05,100.04,5.48,3.4944,0.1244,2.11,3.37
AII-78-3-102,Tormey1987,0.001,0.00001,1192,gl-ol-pl,50.2,1.67,15.4,11.2,0.22,7.6,14.2,2.77,0.17,0.11,,0.05,103.59,6.36,4.0598,1.1198,3.42,2.94
AII-78-3-102,Tormey1987,0.001,0.00001,1186,gl-ol-pl,49.4,1.92,13.6,12.2,0.27,6.57,10.9,2.9,0.21,,,0.08,98.05,5.72,3.6486,0.5386,2.61,3.11
AII-78-3-102,Tormey1987,0.001,0.00001,1182,gl-ol-pl,50.2,1.81,14.8,12,0.23,7.31,11.3,3.33,0.18,0.14,,0.08,101.38,6.36,4.0598,0.5498,2.85,3.51
AII-78-3-102,Tormey1987,0.001,0.00001,1177,gl-ol-pl,49.4,1.57,15.3,11.3,0.18,6.68,11.5,2.81,0.18,,,0.05,98.97,5.72,3.6486,0.6586,2.73,2.99
