Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1210,gl,51.4,1.55,16.1,0.06,8.55,0.15,7.96,10.2,3.46,0.28,,,99.71
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1207,gl - ol - sp,51.9,1.5,17,0.06,7.82,0.23,8.06,9.93,3.71,0.28,,,100.49
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1205,gl - ol - pl,51.2,1.66,16.2,0.07,9.91,0.23,7.5,10.1,3.65,0.3,,,100.82
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1196,gl - ol - pl,52.5,1.74,16.1,0.05,8.63,0.15,7.47,10.3,3.47,0.29,,,100.7
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1185,gl - ol - pl,51.5,1.9,14.9,0.06,9.09,0.18,6.8,10.4,3.6,0.33,,,98.76
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1177,gl - ol - pl,52.5,2.09,14.9,0.07,9.59,0.17,6.67,10.9,3.47,0.32,,,100.68
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1170,gl - ol - pl,52.6,2.26,14.2,0.04,9.56,0.19,6.26,10.5,3.56,0.38,,,99.55
KN-54-2-2-1,Grove1992,1atm_furnace,0.001,0.00001,1161,gl - ol - cp - pl,51.9,2.38,13.6,0.06,11.3,0.23,6.06,10.4,3.27,0.34,,,99.54
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1176,gl - ol - pl,49.7,1.93,14.3,0,10.7,0.22,7.19,10.6,3.17,0.18,0.25,,98.24
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1163,gl - ol - cp - pl,49.8,2.35,13.6,0,12.2,0.25,6.7,10.5,3.23,0.19,0.32,,99.14
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1152,gl - ol - cp - pl,50,2.47,13.7,0,11.7,0.19,6.6,10.5,3.36,0.22,0.36,,99.1
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1148,gl - ol - cp - pl,49.8,2.3,13.7,0,12,0.22,6.68,10.7,3.18,0.19,0.32,,99.09
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1145,gl - ol - cp - pl,49.8,3.32,12.9,0,12.9,0.27,6.08,9.86,3.11,0.25,0.43,,98.92
ALV-1690-20,Grove1992,zhm_ar,2,0.02,1126,gl - ol - cp - pl,49,3.7,12.5,0,13.6,0.25,5.91,9.66,3.29,0.28,0.53,,98.72
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1240,gl - ol - cp - pl,50.2,1.4,15.8,0.05,9.48,0.14,8.01,10.6,3.13,0.12,0.15,,99.08
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1230,gl - ol - cp - pl,49.1,1.82,15.6,0.03,11.2,0.19,7.64,9.77,3.57,0.14,0.13,,99.19
AII-96-18-1,Grove1992,Piston Cylinder,8,0.5,1215,gl - ol - cp - pl,48.7,1.9,15.3,0.08,11.5,0.09,7.27,9.62,3.61,0.15,0.13,,98.35
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1265,gl - ol - cp - pl,49,0.9,16.3,0.11,9.79,0.13,9.12,11.5,2.33,0.11,0.06,,99.35
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1250,gl - ol - cp - pl,49.3,0.89,15.9,0.08,10.1,0.15,8.46,11.9,2.23,0.12,,,99.13
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1235,gl - ol - cp - pl,49.2,1.02,15.6,0.11,11.1,0.27,8.32,11.6,2.28,0.14,0.16,,99.8
ALV-528-1-1,Grove1992,Piston Cylinder,8,0.5,1225,gl - ol - cp - pl,48.9,1.72,15.4,0.08,11.9,0.22,7.88,10.4,3.12,0.16,0.26,,100.04
70-002,Grove1992,Piston Cylinder,8,0.5,1240,gl - ol - cp - pl,49.2,1.11,16,0.11,8.63,0.05,9.5,11.8,2.61,0.08,0.08,,99.17
70-002,Grove1992,Piston Cylinder,8,0.5,1225,gl - ol - cp - pl,48.9,2.8,14.5,0.08,11.6,0.3,7.9,10.2,3.39,0.27,0.37,,100.31
70-002,Grove1992,Piston Cylinder,8,0.5,1210,gl - ol - cp - pl,49,3.06,14,0.06,14.1,0.23,6.47,9.58,3.22,0.26,0.4,,100.38
